"county","county_true"
"Addison","Addison"
"Ripton","Addison"
"Bristol","Addison"
"Monkton","Addison"
"Weybridge","Addison"
"Vergennes","Addison"
"Hancock","Addison"
"New Haven","Addison"
"Waltham","Addison"
"Orwell","Addison"
"Cornwall","Addison"
"Whiting","Addison"
"Starksboro","Addison"
"Bridport","Addison"
"Granville","Addison"
"Panton","Addison"
"Salisbury","Addison"
"Lincoln","Addison"
"Shoreham","Addison"
"Leicester","Addison"
"Goshen","Addison"
"Middlebury","Addison"
"Ferrisburg","Addison"
"Shaftsbury","Bennington"
"Rupert","Bennington"
"Peru","Bennington"
"Manchester","Bennington"
"Sunderland","Bennington"
"Bennington","Bennington"
"Arlington","Bennington"
"Readsboro","Bennington"
"Stamford","Bennington"
"Landgrove","Bennington"
"Searsburg","Bennington"
"Woodford","Bennington"
"Dorset","Bennington"
"Winhall","Bennington"
"Sandgate","Bennington"
"Burke","Caledonia"
"Wheelock","Caledonia"
"Sheffield","Caledonia"
"Ryegate","Caledonia"
"Barnet","Caledonia"
"Peacham","Caledonia"
"Kirby","Caledonia"
"Walden","Caledonia"
"Hardwick","Caledonia"
"Stannard","Caledonia"
"Danville","Caledonia"
"Lyndon","Caledonia"
"Groton","Caledonia"
"St. Johnsbury","Caledonia"
"Sutton","Caledonia"
"Waterford","Caledonia"
"Newark","Caledonia"
"Shelburne","Chittenden"
"Richmond","Chittenden"
"Williston","Chittenden"
"Burlington","Chittenden"
"Charlotte","Chittenden"
"Milton","Chittenden"
"Winooski","Chittenden"
"Colchester","Chittenden"
"South Burlington","Chittenden"
"Essex","Chittenden"
"St. George","Chittenden"
"Jericho","Chittenden"
"Huntington","Chittenden"
"Underhill","Chittenden"
"Hinesburg","Chittenden"
"Westford","Chittenden"
"Bolton","Chittenden"
"Maidstone","Essex"
"Concord","Essex"
"Bloomfield","Essex"
"Norton","Essex"
"Guildhall","Essex"
"Granby","Essex"
"Brighton","Essex"
"Lunenburg","Essex"
"Lemington","Essex"
"Canaan","Essex"
"Victory","Essex"
"East Haven","Essex"
"Brunswick","Essex"
"Franklin","Franklin"
"Bakersfield","Franklin"
"St. Albans","Franklin"
"St. Albans Town","Franklin"
"Highgate","Franklin"
