"fips","trump_over_perc50"
1001,"0"
1003,"0"
1005,"1"
1007,"1"
1009,"0"
1011,"1"
1013,"1"
1015,"0"
1017,"0"
1019,"1"
1021,"1"
1023,"1"
1025,"1"
1027,"0"
1029,"1"
1031,"0"
1033,"0"
1035,"1"
1037,"1"
1039,"0"
1041,"1"
1043,"1"
1045,"0"
1047,"1"
1049,"0"
1051,"0"
1053,"1"
1055,"0"
1057,"1"
1059,"1"
1061,"1"
1063,"1"
1065,"1"
1067,"0"
1069,"0"
1071,"1"
1073,"0"
1075,"1"
1077,"0"
1079,"1"
1081,"0"
1083,"0"
1085,"1"
1087,"0"
1089,"0"
1091,"1"
1093,"1"
1095,"1"
1097,"0"
1099,"1"
1101,"0"
1103,"0"
1105,"1"
1107,"0"
1109,"0"
1111,"1"
1113,"0"
1115,"0"
1117,"0"
1119,"1"
1121,"1"
1123,"1"
1125,"0"
1127,"1"
1129,"1"
1131,"1"
1133,"1"
4001,"1"
4003,"1"
4005,"0"
4007,"1"
4009,"0"
4011,"1"
4012,"1"
4013,"1"
4015,"1"
4017,"0"
4019,"1"
4021,"1"
4023,"1"
4025,"1"
4027,"1"
5001,"0"
5003,"0"
5005,"0"
5007,"0"
5009,"0"
5011,"0"
5013,"0"
5015,"0"
5017,"1"
5019,"0"
5021,"0"
5023,"0"
5025,"0"
5027,"0"
5029,"0"
5031,"0"
5033,"0"
5035,"0"
5037,"0"
5039,"0"
5041,"1"
5043,"0"
5045,"0"
5047,"0"
5049,"0"
5051,"0"
5053,"0"
5055,"0"
5057,"0"
5059,"0"
5061,"0"
5063,"0"
5065,"0"
5067,"0"
5069,"0"
5071,"0"
5073,"0"
5075,"0"
5077,"1"
5079,"0"
5081,"0"
5083,"0"
5085,"0"
5087,"0"
5089,"0"
5091,"0"
5093,"0"
5095,"0"
5097,"0"
5099,"0"
5101,"0"
5103,"0"
5105,"0"
5107,"1"
5109,"0"
5111,"0"
5113,"0"
5115,"0"
5117,"0"
5119,"0"
5121,"0"
5123,"0"
5125,"0"
5127,"0"
5129,"0"
5131,"0"
5133,"0"
5135,"0"
5137,"0"
5139,"0"
5141,"0"
5143,"0"
5145,"0"
5147,"0"
5149,"0"
6001,"1"
6003,"1"
6005,"1"
6007,"1"
6009,"1"
6011,"1"
6013,"1"
6015,"1"
6017,"1"
6019,"1"
6021,"1"
6023,"1"
6025,"1"
6027,"1"
6029,"1"
6031,"1"
6033,"1"
6035,"1"
6037,"1"
6039,"1"
6041,"1"
6043,"1"
6045,"1"
6047,"1"
6049,"1"
6051,"1"
6053,"1"
6055,"1"
6057,"1"
6059,"1"
6061,"1"
6063,"1"
6065,"1"
6067,"1"
6069,"1"
6071,"1"
6073,"1"
6075,"1"
6077,"1"
6079,"1"
6081,"1"
6083,"1"
6085,"1"
6087,"1"
6089,"1"
6091,"1"
6093,"1"
6095,"1"
6097,"1"
6099,"1"
6101,"1"
6103,"1"
6105,"1"
6107,"1"
6109,"1"
6111,"1"
6113,"1"
6115,"1"
10001,"1"
10003,"1"
10005,"1"
12001,"0"
12003,"1"
12005,"1"
12007,"1"
12009,"0"
12011,"1"
12013,"0"
